
Sequence order: 0, GMD_Object ID: 747, X: -29, Y: -15, X_distance: None, Y_distance: None
Sequence order: 1, GMD_Object ID: 1744, X: 30, Y: 255, X_distance: 59, Y_distance: 270
Sequence order: 2, GMD_Object ID: 1744, X: 90, Y: 285, X_distance: 60, Y_distance: 30
Sequence order: 3, GMD_Object ID: 1744, X: 150, Y: 315, X_distance: 60, Y_distance: 30
Sequence order: 4, GMD_Object ID: 1744, X: 210, Y: 345, X_distance: 60, Y_distance: 30
Sequence order: 5, GMD_Object ID: 1, X: 285, Y: 315, X_distance: 75, Y_distance: -30
Sequence order: 6, GMD_Object ID: 1, X: 345, Y: 285, X_distance: 60, Y_distance: -30
Sequence order: 7, GMD_Object ID: 1, X: 405, Y: 255, X_distance: 60, Y_distance: -30
Sequence order: 8, GMD_Object ID: 1, X: 435, Y: 255, X_distance: 30, Y_distance: 0
Sequence order: 9, GMD_Object ID: 1, X: 465, Y: 255, X_distance: 30, Y_distance: 0
Sequence order: 10, GMD_Object ID: 140, X: 465, Y: 272, X_distance: 0, Y_distance: 17
Sequence order: 11, GMD_Object ID: 203, X: 465, Y: 285, X_distance: 0, Y_distance: 13
Sequence order: 12, GMD_Object ID: 141, X: 585, Y: 315, X_distance: 120, Y_distance: 30
Sequence order: 13, GMD_Object ID: 141, X: 645, Y: 345, X_distance: 60, Y_distance: 30
Sequence order: 14, GMD_Object ID: 141, X: 705, Y: 375, X_distance: 60, Y_distance: 30
Sequence order: 15, GMD_Object ID: 36, X: 795, Y: 405, X_distance: 90, Y_distance: 30
Sequence order: 16, GMD_Object ID: 13, X: 885, Y: 495, X_distance: 90, Y_distance: 90
Sequence order: 17, GMD_Object ID: 1022, X: 915, Y: 495, X_distance: 30, Y_distance: 0
Sequence order: 18, GMD_Object ID: 1022, X: 1005, Y: 435, X_distance: 90, Y_distance: -60
Sequence order: 19, GMD_Object ID: 1330, X: 1125, Y: 525, X_distance: 120, Y_distance: 90
Sequence order: 20, GMD_Object ID: 36, X: 1185, Y: 405, X_distance: 60, Y_distance: -120
Sequence order: 21, GMD_Object ID: 84, X: 1395, Y: 555, X_distance: 210, Y_distance: 150
Sequence order: 22, GMD_Object ID: 47, X: 1755, Y: 435, X_distance: 360, Y_distance: -120
Sequence order: 23, GMD_Object ID: 1022, X: 1845, Y: 405, X_distance: 90, Y_distance: -30
Sequence order: 24, GMD_Object ID: 1022, X: 1905, Y: 465, X_distance: 60, Y_distance: 60
Sequence order: 25, GMD_Object ID: 1022, X: 1965, Y: 405, X_distance: 60, Y_distance: -60
Sequence order: 26, GMD_Object ID: 1, X: 2145, Y: 435, X_distance: 180, Y_distance: 30
Sequence order: 27, GMD_Object ID: 1, X: 2175, Y: 435, X_distance: 30, Y_distance: 0
Sequence order: 28, GMD_Object ID: 1, X: 2205, Y: 435, X_distance: 30, Y_distance: 0
Sequence order: 29, GMD_Object ID: 1, X: 2205, Y: 525, X_distance: 0, Y_distance: 90
Sequence order: 30, GMD_Object ID: 1, X: 2235, Y: 525, X_distance: 30, Y_distance: 0
Is Modified: False
